ECID,dut,Speedo,Temp,Vmin,valid,Chip,Model,Pipe,Guess,Error
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,105,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6732594255954454,0.006740574404554667
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6724173355425727,-0.0024173355425726184
TSMC-U8C607-08_x7_y2,vrl-cs-bg-106,2112,70,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6746405674472276,0.005359432552772492
TSMC-U8C607-11_x4_y7,vrl-cs-bg-106,2123,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6734211588993539,-0.0034211588993539044
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6784027161250439,0.001597283874956168
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.676849773612858,0.003150226387142019
TSMC-U8C607-08_x7_y2,vrl-cs-bg-122,2112,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6845458716288908,0.005454128371109146
TSMC-U8C607-11_x4_y7,vrl-cs-bg-122,2123,0,0.69,good,GB100,QuadraticVMin,Only: valid = good,0.6827031796830867,0.007296820316913255
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,105,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6841923511085692,-0.014192351108569201
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,105,0.66,good,GB100,QuadraticVMin,Only: valid = good,0.6872736854857044,-0.027273685485704413
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6857911673398278,-0.015791167339827772
TSMC-U8C630-25_x2_y4,vrl-cs-bg-108,2015,70,0.67,good,GB100,QuadraticVMin,Only: valid = good,0.6882516623733459,-0.018251662373345856
TSMC-U8C630-25_x6_y2,vrl-cs-bg-108,2026,35,0.68,good,GB100,QuadraticVMin,Only: valid = good,0.6900912003498756,-0.01009120034987554
